ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,Country,Currency,CompTotal,CompFreq,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ICorPM,WorkExp,ConvertedCompYearly
15166,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,12,"Developer, desktop or enterprise applications;DevOps specialist","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,200000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,10,200000
15175,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,20,"Developer, back-end",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,23,150000
15180,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,1,"Developer, full-stack;Developer, desktop or enterprise applications","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,106233,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,None of the above,Independent contributor,1,106233
15185,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,3,"Developer, full-stack;Developer, desktop or enterprise applications",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,95000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,3,95000
15191,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,8,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator",100 to 499 employees,I have a great deal of influence,United States of America,USD	United States dollar,140000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;East Asian;Multiracial;Pacific Islander,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,12,140000
15195,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, full-stack",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,76100,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,No,NA,"No, not at all",35-44 years old,Man,No,Bisexual,European,None of the above,I have an anxiety disorder,Independent contributor,3,76100
15199,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Some college/university study without earning a degree,13,1,"Developer, back-end",20 to 99 employees,I have little or no influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",18-24 years old,Man,No,Straight / Heterosexual,White;European;Asian;Multiracial,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,1,100000
15205,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,12,"Developer, embedded applications or devices","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,263000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Not sure/can't remember,NA,"No, not at all",25-34 years old,Man,NA,NA,Prefer not to say,None of the above,None of the above,Independent contributor,12,263000
15213,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33,6,"Developer, full-stack",2 to 9 employees,I have some influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow,Daily or almost daily,No,NA,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,6,100000
15236,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,24,"Developer, back-end",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,150000,Yearly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,20,150000
15244,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7,"Developer, full-stack",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,7,150000
15248,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34,30,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, embedded applications or devices;Designer;System administrator",2 to 9 employees,I have some influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,30,100000
15256,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,7,DevOps specialist,100 to 499 employees,I have some influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow,Multiple times per day,No,NA,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,11,120000
15258,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,9,8,"Developer, full-stack;Engineering manager;DevOps specialist;Cloud infrastructure engineer",20 to 99 employees,I have a great deal of influence,United States of America,USD	United States dollar,190000,Yearly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,8,190000
15267,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,1,"Developer, full-stack","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Independent contributor,2,120000
15268,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Other doctoral degree (Ph.D., Ed.D., etc.)",16,14,"Developer, embedded applications or devices","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,265000,Yearly,Stack Overflow,A few times per week,Not sure/can't remember,NA,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,10,265000
15271,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42,33,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, game or graphics;Cloud infrastructure engineer;System administrator;Security professional",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,275000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",55-64 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Independent contributor,33,275000
15274,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,Less than 1 year,"Developer, front-end;Developer, QA or test;Developer, mobile",2 to 9 employees,I have little or no influence,United States of America,USD	United States dollar,3000,Monthly,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,None of the above,Independent contributor,10,36000
15276,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,2,"Developer, desktop or enterprise applications;Developer, game or graphics;Data or business analyst",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,1200,Weekly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Independent contributor,2,60000
15277,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,Some college/university study without earning a degree,30,17,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Developer, game or graphics;Cloud infrastructure engineer;System administrator",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,350000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Bisexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,24,350000
15278,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,16,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,122000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,15,122000
15279,I am a developer by profession,"Employed, full-time",Fully remote,Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,14,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile","10,000 or more employees",I have a great deal of influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Asian;South Asian,None of the above,None of the above,Independent contributor,14,130000
15295,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,11,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.);System administrator",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,240000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",People manager,13,240000
15318,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,16,9,"Developer, mobile;Developer, embedded applications or devices","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,190000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;European;Hispanic or Latino/a;South American;Multiracial;Biracial,None of the above,Prefer not to say,Independent contributor,9,190000
15340,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,6,"Developer, front-end;Other (please specify):","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,125000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,10,125000
15353,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,1,"Developer, full-stack;Developer, back-end;Data or business analyst","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,1811,Weekly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,NA,White;Hispanic or Latino/a,None of the above,I have an anxiety disorder,Independent contributor,1,90550
15355,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Other doctoral degree (Ph.D., Ed.D., etc.)",22,20,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,180000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,People manager,22,180000
15358,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,16,"Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,5550,Weekly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,18,277500
15361,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Engineer, site reliability;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,126000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,12,126000
15370,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38,38,"Data scientist or machine learning specialist;Developer, full-stack",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,196000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",45-54 years old,Man,No,Bisexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,38,196000
15381,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,10,"Developer, full-stack",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,84000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,NA,NA,NA,NA,Independent contributor,10,84000
15386,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,8,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Independent contributor,8,130000
15396,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,Some college/university study without earning a degree,28,20,"Developer, front-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,165000,Yearly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,20,165000
15411,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,25,15,Other (please specify):,20 to 99 employees,I have some influence,United States of America,USD	United States dollar,225000,Yearly,Stack Overflow,Less than once per month or monthly,No,NA,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,24,225000
15414,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,10,"Engineer, data;Developer, full-stack","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,220000,Yearly,Stack Overflow,A few times per month or weekly,Not sure/can't remember,NA,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,10,220000
15432,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,22,"Developer, back-end;Cloud infrastructure engineer",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,170000,Yearly,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,Prefer not to say,Independent contributor,22,170000
15434,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7,"Developer, full-stack",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,205000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Independent contributor,7,205000
15437,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,9,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,105000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,North American;Asian;East Asian,None of the above,None of the above,People manager,9,105000
15451,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Associate degree (A.A., A.S., etc.)",3,1,"Developer, full-stack",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,67500,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Independent contributor,1,67500
15453,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,11,"Engineer, data;Developer, back-end",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,450000,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",25-34 years old,Man,No,Gay or Lesbian,White,None of the above,None of the above,Independent contributor,11,450000
15454,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,8,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Designer",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,8,100000
15455,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,8,"Engineer, data;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,175000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Woman,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,20,175000
15461,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,18,"Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,92000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,18,92000
15462,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,11,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,United States of America,USD	United States dollar,300000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Independent contributor,11,300000
15475,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36,30,"Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Developer, embedded applications or devices;Cloud infrastructure engineer",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,144000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,White,Prefer not to say,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Independent contributor,30,144000
15484,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,15,Product manager,"1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,250000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,NA,People manager,15,250000
15486,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Associate degree (A.A., A.S., etc.)",4,3,Other (please specify):,"1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,75000,Yearly,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Neutral,45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,5,75000
15496,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,4,Academic researcher;Security professional,2 to 9 employees,I have some influence,United States of America,USD	United States dollar,105000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,NA,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"Or, in your own words:;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,4,105000
15509,I am a developer by profession,"Employed, full-time",Fully remote,School or academic work,"Other doctoral degree (Ph.D., Ed.D., etc.)",15,10,"Data scientist or machine learning specialist;Engineer, data;Academic researcher;Cloud infrastructure engineer",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Independent contributor,5,120000
15515,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby,"Associate degree (A.A., A.S., etc.)",14,10,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,United States of America,USD	United States dollar,60000,Yearly,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,14,60000
15519,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Professional degree (JD, MD, etc.)",6,5,"Developer, full-stack","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,2400,Weekly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Woman,No,Straight / Heterosexual,White,I am unable to / find it difficult to walk or stand without assistance,"I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,5,120000
15529,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects,"Other doctoral degree (Ph.D., Ed.D., etc.)",10,6,Data scientist or machine learning specialist,"1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,140000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,People manager,6,140000
15535,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,8,"Developer, mobile;Product manager",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,145000,Yearly,Stack Overflow;Stack Exchange,Less than once per month or monthly,Not sure/can't remember,NA,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,12,145000
15539,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,8,"Engineer, site reliability;Developer, back-end;Engineering manager;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,162000,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",People manager,8,162000
15551,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,Some college/university study without earning a degree,6,5,"Developer, full-stack;Developer, QA or test;Database administrator;Cloud infrastructure engineer;Data or business analyst;Designer",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,175000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,5,175000
